period_start,n_tickers,option_pnl,mm_contrib,total_pnl,cumulative_pct,avg_premium_pct,tickers
2021-08-09,30,0.7967,0.0060,0.8027,9.2255,1.7383,AAPL|MSFT|AMZN|META|GOOGL|UNH|TSLA|V|ADBE|CRM|NVDA|JPM|ACN|PG|HD|MA|DIS|WMT|NKE|ORCL|BAC|CMCSA|JNJ|TMO|NFLX|ABT|NOW|INTU|LLY|COST
2021-09-06,30,0.0737,0.0062,0.0799,9.3053,0.0586,AAPL|MSFT|AMZN|META|GOOGL|UNH|TSLA|ADBE|V|CRM|NVDA|ACN|JPM|PG|HD|DIS|MA|WMT|ORCL|NKE|CMCSA|BAC|NFLX|JNJ|TMO|NOW|ABT|INTU|COST|LLY
2021-10-04,30,0.7536,0.0061,0.7597,10.0650,0.7399,MSFT|AAPL|AMZN|GOOGL|META|UNH|TSLA|CRM|V|ADBE|JPM|ACN|NVDA|HD|PG|DIS|MA|ORCL|WMT|BAC|NFLX|CMCSA|NKE|TMO|JNJ|NOW|ABT|INTU|COST|PEP
2021-11-01,30,-0.8771,0.0060,-0.8710,9.1940,1.9948,MSFT|AAPL|AMZN|TSLA|GOOGL|META|UNH|CRM|NVDA|ADBE|V|ACN|HD|JPM|PG|DIS|WMT|BAC|MA|ORCL|NFLX|NKE|TMO|NOW|ABT|JNJ|CMCSA|INTU|COST|BX
2021-11-29,30,4.1149,0.0061,4.1210,13.3150,1.5138,MSFT|AAPL|AMZN|TSLA|GOOGL|META|UNH|NVDA|CRM|ADBE|HD|ACN|V|PG|JPM|MA|WMT|BAC|ORCL|NKE|NFLX|DIS|TMO|INTU|NOW|ABT|COST|JNJ|CMCSA|QCOM
2021-12-27,30,-1.7490,0.0060,-1.7429,11.5720,1.7488,AAPL|MSFT|AMZN|GOOGL|TSLA|META|UNH|NVDA|ACN|HD|V|CRM|PG|ADBE|JPM|MA|DIS|WMT|BAC|NKE|ORCL|TMO|NFLX|ABT|JNJ|INTU|COST|NOW|CMCSA|QCOM
2022-01-24,30,-0.0483,0.1535,0.1052,11.6772,0.2476,AAPL|MSFT|AMZN|GOOGL|UNH|META|TSLA|NVDA|PG|V|HD|ACN|CRM|ADBE|JPM|MA|WMT|BAC|DIS|ORCL|NKE|TMO|JNJ|ABT|CMCSA|XOM|COST|PEP|QCOM|INTU
2022-02-21,30,0.0000,0.1538,0.1538,11.8310,0.0000,AAPL|MSFT|AMZN|GOOGL|UNH|TSLA|META|V|NVDA|PG|HD|ACN|JPM|MA|CRM|BAC|ADBE|DIS|WMT|NKE|JNJ|ORCL|TMO|XOM|COST|ABT|CMCSA|ABBV|KO|QCOM
2022-03-21,30,2.4874,0.1511,2.6384,14.4695,1.7897,AAPL|MSFT|AMZN|UNH|GOOGL|TSLA|META|NVDA|V|PG|ACN|HD|CRM|MA|JPM|ADBE|WMT|BAC|DIS|ORCL|JNJ|TMO|XOM|COST|ABBV|ABT|NKE|LLY|CVX|CMCSA
2022-04-18,30,-1.4294,0.1515,-1.2778,13.1917,1.5027,AAPL|MSFT|AMZN|UNH|TSLA|GOOGL|META|V|PG|NVDA|ACN|MA|WMT|HD|CRM|JPM|ADBE|JNJ|XOM|BAC|ORCL|DIS|COST|TMO|ABBV|NKE|CVX|LLY|ABT|CMCSA
